datetime,from_grid,to_grid,solar_production
1-4-2016 00:00:00,1.335,NA,NA
1-4-2016 00:15:00,1.335,NA,NA
1-4-2016 00:30:00,1.32,NA,NA
1-4-2016 00:45:00,1.29,NA,NA
1-4-2016 01:00:00,1.305,NA,NA
1-4-2016 01:15:00,1.335,NA,NA
1-4-2016 01:30:00,1.32,NA,NA
1-4-2016 01:45:00,1.305,NA,NA
1-4-2016 02:00:00,1.305,NA,NA
1-4-2016 02:15:00,1.32,NA,NA
1-4-2016 02:30:00,1.23,NA,NA
1-4-2016 02:45:00,1.215,NA,NA
1-4-2016 03:00:00,1.26,NA,NA
1-4-2016 03:15:00,1.245,NA,NA
1-4-2016 03:30:00,1.275,NA,NA
1-4-2016 03:45:00,1.23,NA,NA
1-4-2016 04:00:00,1.23,NA,NA
1-4-2016 04:15:00,1.23,NA,NA
1-4-2016 04:30:00,1.215,NA,NA
1-4-2016 04:45:00,1.26,NA,NA
1-4-2016 05:00:00,1.245,NA,NA
1-4-2016 05:15:00,1.17,NA,NA
1-4-2016 05:30:00,1.26,NA,NA
1-4-2016 05:45:00,1.245,NA,NA
1-4-2016 06:00:00,1.365,NA,NA
1-4-2016 06:15:00,1.35,NA,NA
1-4-2016 06:30:00,1.44,NA,NA
1-4-2016 06:45:00,1.92,NA,NA
1-4-2016 07:00:00,2.055,NA,NA
1-4-2016 07:15:00,2.49,NA,NA
1-4-2016 07:30:00,4.605,NA,NA
1-4-2016 07:45:00,4.41,NA,NA
1-4-2016 08:00:00,4.17,NA,NA
1-4-2016 08:15:00,4.02,NA,NA
1-4-2016 08:30:00,4.08,NA,NA
1-4-2016 08:45:00,5.25,NA,NA
1-4-2016 09:00:00,4.71,NA,NA
1-4-2016 09:15:00,4.77,NA,NA
1-4-2016 09:30:00,4.305,NA,NA
1-4-2016 09:45:00,3.525,NA,NA
1-4-2016 10:00:00,3.825,NA,NA
1-4-2016 10:15:00,3.93,NA,NA
1-4-2016 10:30:00,4.05,NA,NA
1-4-2016 10:45:00,3.81,NA,NA
1-4-2016 11:00:00,4.065,NA,NA
1-4-2016 11:15:00,3.885,NA,NA
1-4-2016 11:30:00,5.265,NA,NA
1-4-2016 11:45:00,5.76,NA,NA
1-4-2016 12:00:00,4.965,NA,NA
1-4-2016 12:15:00,4.785,NA,NA
1-4-2016 12:30:00,4.71,NA,NA
1-4-2016 12:45:00,5.25,NA,NA
1-4-2016 13:00:00,4.905,NA,NA
1-4-2016 13:15:00,5.055,NA,NA
1-4-2016 13:30:00,5.325,NA,NA
1-4-2016 13:45:00,4.47,NA,NA
1-4-2016 14:00:00,4.545,NA,NA
1-4-2016 14:15:00,4.935,NA,NA
1-4-2016 14:30:00,4.245,NA,NA
1-4-2016 14:45:00,4.185,NA,NA
1-4-2016 15:00:00,4.815,NA,NA
1-4-2016 15:15:00,1.035,NA,NA
1-4-2016 15:30:00,0.66,NA,NA
1-4-2016 15:45:00,0.555,NA,NA
1-4-2016 16:00:00,0.48,NA,NA
1-4-2016 16:15:00,0,NA,NA
1-4-2016 16:30:00,0.03,NA,NA
1-4-2016 16:45:00,0.24,NA,NA
1-4-2016 17:00:00,0.36,NA,NA
1-4-2016 17:15:00,0.36,NA,NA
1-4-2016 17:30:00,0.525,NA,NA
1-4-2016 17:45:00,0.54,NA,NA
1-4-2016 18:00:00,0.345,NA,NA
1-4-2016 18:15:00,0,NA,NA
1-4-2016 18:30:00,0.135,NA,NA
1-4-2016 18:45:00,0.51,NA,NA
1-4-2016 19:00:00,1.05,NA,NA
1-4-2016 19:15:00,1.47,NA,NA
1-4-2016 19:30:00,1.62,NA,NA
1-4-2016 19:45:00,1.815,NA,NA
1-4-2016 20:00:00,2.04,NA,NA
1-4-2016 20:15:00,2.175,NA,NA
1-4-2016 20:30:00,1.44,NA,NA
1-4-2016 20:45:00,1.275,NA,NA
